Section,Purpose,Snippet,Explanation
"10. Grid Cell Styling","Background cells that show the empty grid structure.","css .grid-cell { margin-right: 15px; float: left; border-radius: 3px; background: rgba(238, 228, 218, 0.35); }","Creates the subtle beige cells visible behind the tiles. Dimensions are set dynamically by JavaScript (updateGridSize) to match the selected grid configuration, maintaining 15px gutters."
"11. Tile Base Styling","Common styles for all tile objects.","css .tile { position: absolute; transition: 100ms ease-in-out; transition-property: transform; } .tile .tile-inner { border-radius: 3px; text-align: center; font-weight: bold; }","Tiles are absolutely positioned within the tile-container for precise control. The 100ms transition creates smooth sliding animations. Dimensions and font sizes are set dynamically via injected CSS styles."
"12. Tile Color Scheme (2-4)","Light beige tiles for starting values.","css .tile.tile-2 .tile-inner { background: #eee4da; } .tile.tile-4 .tile-inner { background: #ede0c8; }","The two lowest values use light, neutral backgrounds with dark text. These are the most common tiles, so they use subtle colors that don't dominate the visual hierarchy."
"13. Tile Color Scheme (8-64)","Orange gradient for mid-range values.","css .tile.tile-8 .tile-inner { color: #f9f6f2; background: #f2b179; } .tile.tile-64 .tile-inner { background: #f65e3b; }","As tile values increase, colors shift from light orange to deep red-orange. Text switches to white (#f9f6f2) for contrast against darker backgrounds."
"14. Tile Color Scheme (128-2048)","Golden tiles with glow effects for high values.","css .tile.tile-128 .tile-inner { background: #edcf72; box-shadow: 0 0 30px 10px rgba(243, 215, 116, 0.2381); }","High-value tiles get golden backgrounds with progressive glow effects (increasing alpha on box-shadow). These tiles use dynamically calculated smaller font sizes to fit larger numbers."
"15. Tile Super Styling","Dark tiles for values exceeding 2048.","css .tile.tile-super .tile-inner { color: #f9f6f2; background: #3c3a32; }","Once players exceed 2048, tiles switch to a dark charcoal background. Font size is dynamically calculated at 30% of cell size to accommodate 4-5 digit numbers."
"16. Restart Button Styling","Prominent button to reset the game.","css .restart-button { display: inline-block; background: #8f7a66; border-radius: 3px; padding: 0 20px; color: #f9f6f2; height: 40px; line-height: 42px; float: right; }","Brown button with white text, floated to the right for consistent placement. The 40px height matches the game-intro text line-height for visual alignment."
"17. Undo Button Styling (NEW)","Full-width button below game grid for undo functionality.","css .undo-button { background: #8f7a66; color: #f9f6f2; height: 40px; margin: 20px auto 0; width: 100%; max-width: 500px; display: block; }","Centered button using auto margins with maximum width constraint. Styled to match the restart button aesthetic while having distinct block-level positioning below the game area."
"18. Undo Button Disabled State (NEW)","Visual feedback when undo is unavailable.","css .undo-button:disabled { opacity: 0.5; cursor: not-allowed; }","Reduces opacity to 50% and changes cursor when no moves are available to undo. Provides clear visual feedback that the button is non-interactive."
"19. Undo Button Hover State (NEW)","Interactive feedback on undo button hover.","css .undo-button:not(:disabled):hover { background: #9f8a76; }","Lightens the background color when hovering over an enabled undo button. The :not(:disabled) selector ensures hover only applies when the button is active."
"20. Grid Size Selector Container (NEW)","Control panel for selecting grid dimensions.","css .grid-size-selector { margin: 20px auto 0; padding: 20px; background: #bbada0; border-radius: 6px; max-width: 760px; }","Matches the game container aesthetic with same background color. Centered with auto margins and maximum width for visual consistency across viewport sizes."
"21. Grid Size Selector Heading (NEW)","Title for the grid size controls.","css .grid-size-selector h3 { margin: 0 0 15px 0; color: #f9f6f2; font-size: 16px; text-transform: uppercase; }","Light text on dark background with uppercase transformation for visual hierarchy. 15px bottom margin provides spacing before the preset buttons."
"22. Preset Buttons Container (NEW)","Flex layout for quick grid size selection.","css .preset-buttons { display: flex; gap: 10px; flex-wrap: wrap; margin-bottom: 15px; }","Uses flexbox with 10px gap between buttons and wrapping enabled for responsive behavior. The flex-wrap ensures buttons flow to new line on narrow viewports."
"23. Preset Button Styling (NEW)","Individual preset size buttons (3×3, 4×4, etc.).","css .preset-btn { background: #8f7a66; color: #f9f6f2; border: none; border-radius: 3px; padding: 8px 16px; font-size: 14px; font-weight: bold; cursor: pointer; }","Styled to match restart/undo button aesthetic. Bold font and adequate padding ensure good touch targets. Data attributes (data-width, data-height) store dimension values."
"24. Preset Button Hover State (NEW)","Interactive feedback on button hover.","css .preset-btn:hover { background: #9f8a76; }","Lightens background color on hover to provide visual feedback. Consistent with other interactive elements in the interface."
"25. Preset Button Active State (NEW)","Visual indicator for currently selected grid size.","css .preset-btn.active { background: #776e65; }","Darker background color distinguishes the active grid configuration. Applied/removed via JavaScript when preset buttons are clicked or custom dimensions applied."
"26. Custom Grid Inputs Container (NEW)","Layout for width/height input controls.","css .custom-grid-inputs { display: flex; gap: 15px; align-items: center; margin-top: 15px; padding-top: 15px; border-top: 1px solid rgba(255, 255, 255, 0.2); }","Flexbox layout with 15px gap between input groups. Top border separates custom controls from preset buttons. Aligns items vertically to center for consistent baseline."
"27. Input Group Styling (NEW)","Label and input field pairing for width/height.","css .input-group { display: flex; flex-direction: column; gap: 5px; }","Vertical flex layout stacks label above input with 5px gap. Creates clear visual association between label and control."
"28. Input Group Label (NEW)","Labels for width and height inputs.","css .input-group label { color: #f9f6f2; font-size: 12px; font-weight: bold; text-transform: uppercase; }","Light text on dark background with uppercase transformation. Small font size (12px) distinguishes labels from primary UI text while maintaining readability."
"29. Input Field Styling (NEW)","Number input controls for custom dimensions.","css .input-group input { width: 60px; padding: 8px; border: none; border-radius: 3px; font-size: 16px; font-weight: bold; text-align: center; }","Compact 60px width with centered text and bold font. Border-radius matches other UI elements. Type=""number"" with min=""3"" max=""10"" attributes enforce valid range."
"30. Apply Custom Button Styling (NEW)","Action button to confirm custom grid dimensions.","css .apply-custom-btn { background: #4ade80; color: #111827; border: none; border-radius: 3px; padding: 8px 20px; font-size: 14px; font-weight: bold; cursor: pointer; margin-top: 20px; }","Distinctive green background (#4ade80) signals positive action. Dark text provides contrast. Positioned with top margin to separate from input fields."
"31. Apply Custom Button Hover (NEW)","Interactive feedback on apply button hover.","css .apply-custom-btn:hover { background: #22c55e; }","Darker green on hover maintains visual consistency with other interactive elements. Provides clear affordance that the button is clickable."
"32. Grid Info Display (NEW)","Shows current grid dimensions.","css .grid-info { margin-top: 10px; color: #f9f6f2; font-size: 14px; }","Light text displays current configuration (e.g., ""Current grid: 4×4""). Updated dynamically via JavaScript (textContent) when grid size changes."
"33. Mobile Responsive Styles","Adapts layout for screens under 520px.","css @media screen and (max-width: 520px) { .preset-btn { padding: 6px 12px; font-size: 12px; } .custom-grid-inputs { flex-direction: column; align-items: stretch; } }","Reduces preset button size and changes custom inputs to vertical stacking on narrow viewports. Ensures usability on mobile devices while maintaining visual hierarchy."
"34. Function.prototype.bind Polyfill","Adds ES5 bind() support for legacy browsers.","js if (!Function.prototype.bind) { Function.prototype.bind = function(oThis) { var aArgs = Array.prototype.slice.call(arguments, 1); ... }; }","Implements the .bind() method for browsers older than IE9. Allows preservation of 'this' context when passing methods as callbacks, essential for event handlers throughout the game."
"35. requestAnimationFrame Polyfill","Cross-browser animation timing support.","js for(var x = 0; x < vendors.length && !window.requestAnimationFrame; ++x) { window.requestAnimationFrame = window[vendors[x]+'RequestAnimationFrame']; }","Checks for vendor-prefixed implementations (ms, moz, webkit, o) before falling back to setTimeout-based timing. Ensures 60 FPS animation on all browsers including older mobile Safari."
"36. Fake Storage Object","In-memory fallback for localStorage unavailability.","js window.fakeStorage = { _data: {}, setItem: function(id, val) { return this._data[id] = String(val); }, getItem: function(id) { return this._data.hasOwnProperty(id) ? this._data[id] : undefined; } };","Provides a localStorage-compatible API using a simple object. Used when localStorage is blocked (private browsing, cookie restrictions) or unsupported (very old browsers)."
"37. LocalStorageManager Constructor","Manages game state persistence with dimension-aware keys.","js function LocalStorageManager() { this.bestScoreKey = ""bestScore""; this.gameStateKey = ""gameState""; var supported = this.localStorageSupported(); this.storage = supported ? window.localStorage : window.fakeStorage; }","Initializes with base key names. GameManager appends dimension suffix (e.g., gameState_4x4). Detects localStorage support via try/catch, falling back to fakeStorage if unavailable."
"38. LocalStorage Support Detection","Tests if localStorage is available and writable.","js LocalStorageManager.prototype.localStorageSupported = function() { try { var storage = window.localStorage; storage.setItem(testKey, ""1""); storage.removeItem(testKey); return true; } catch (error) { return false; } }","Attempts to write and remove a test key. Returns false if any exception occurs (SecurityError, QuotaExceededError, etc.). This gracefully handles Safari private mode and other restrictive environments."
"39. Get Best Score Method (UPDATED)","Retrieves the persistent high score for specific grid size.","js LocalStorageManager.prototype.getBestScore = function(key) { return this.storage.getItem(key || this.bestScoreKey) || 0; }","Accepts optional key parameter for dimension-specific scores (e.g., bestScore_5x5). Defaults to 0 if not set. Called on game initialization and after every move."
"40. Set Best Score Method (UPDATED)","Saves the new high score for specific grid size.","js LocalStorageManager.prototype.setBestScore = function(score, key) { this.storage.setItem(key || this.bestScoreKey, score); }","Accepts optional key parameter for dimension-specific persistence. Uses the storage abstraction layer (localStorage or fakeStorage) for compatibility."
"41. Get Game State Method (UPDATED)","Loads the serialized game state for specific dimensions.","js LocalStorageManager.prototype.getGameState = function(key) { var stateJSON = this.storage.getItem(key || this.gameStateKey); return stateJSON ? JSON.parse(stateJSON) : null; }","Accepts optional key parameter (e.g., gameState_4x4). Retrieves and deserializes the game state JSON. Returns null if no saved game exists. Allows resuming dimension-specific games."
"42. Set Game State Method (UPDATED)","Saves the current game state as JSON with dimension key.","js LocalStorageManager.prototype.setGameState = function(gameState, key) { this.storage.setItem(key || this.gameStateKey, JSON.stringify(gameState)); }","Accepts optional key parameter for dimension-specific storage. Serializes the game state object (grid, score, won/over flags) and saves it. Called after every valid move."
"43. Clear Game State Method (UPDATED)","Removes the saved game from storage for specific dimensions.","js LocalStorageManager.prototype.clearGameState = function(key) { this.storage.removeItem(key || this.gameStateKey); }","Accepts optional key parameter. Deletes the dimension-specific saved game state. Called when the game ends (loss) or when user explicitly restarts."
"44. Tile Constructor","Creates a tile object with position and value.","js function Tile(position, value) { this.x = position.x; this.y = position.y; this.value = value || 2; this.previousPosition = null; this.mergedFrom = null; }","Initializes a tile at grid coordinates (x, y) with a default value of 2. previousPosition tracks animation state, mergedFrom stores the source tiles during merge animations."
"45. Tile Save Position Method","Stores current position before movement.","js Tile.prototype.savePosition = function() { this.previousPosition = { x: this.x, y: this.y }; }","Captures the tile's position before a move. The HTMLActuator uses this to render the sliding animation from previousPosition to the new position."
"46. Tile Update Position Method","Changes tile coordinates during movement.","js Tile.prototype.updatePosition = function(position) { this.x = position.x; this.y = position.y; }","Updates the tile's grid coordinates after a valid move. Called by the GameManager during tile sliding and merging operations."
"47. Tile Serialize Method","Converts tile to JSON-compatible object.","js Tile.prototype.serialize = function() { return { position: { x: this.x, y: this.y }, value: this.value }; }","Creates a plain object representation for storage. Only serializes essential data (position and value), omitting animation state like previousPosition and mergedFrom."
"48. Grid Constructor (UPDATED)","Creates the variable-dimension cell structure.","js function Grid(width, height, previousState) { this.width = width; this.height = height; this.cells = previousState ? this.fromState(previousState) : this.empty(); }","Initializes either a fresh empty grid or restores a previous state from localStorage. Accepts separate width and height parameters (changed from single size parameter) to support non-square grids."
"49. Grid Empty Method (UPDATED)","Generates a blank 2D array with variable dimensions.","js Grid.prototype.empty = function() { var cells = []; for (var x = 0; x < this.width; x++) { var row = cells[x] = []; for (var y = 0; y < this.height; y++) { row.push(null); } } return cells; }","Creates a width×height matrix filled with null values. The structure is cells[x][y] where x is column and y is row. Null represents an empty cell with no tile."
"50. Grid From State Method (UPDATED)","Reconstructs grid from saved game with dimension validation.","js Grid.prototype.fromState = function(state) { var cells = []; for (var x = 0; x < this.width; x++) { var row = cells[x] = []; for (var y = 0; y < this.height; y++) { var tile = state[x][y]; row.push(tile ? new Tile(tile.position, tile.value) : null); } } return cells; }","Deserializes the saved grid state, recreating Tile objects from plain JSON. Handles both occupied (create Tile) and empty (null) cells. Loops use this.width and this.height for variable dimensions."
"51. Grid Random Available Cell","Selects a random empty cell for tile spawning.","js Grid.prototype.randomAvailableCell = function() { var cells = this.availableCells(); if (cells.length) { return cells[Math.floor(Math.random() * cells.length)]; } }","Calls availableCells() to get all empty positions, then returns a random one via Math.random(). Used after every valid move to spawn a new 2 or 4 tile."
"52. Grid Available Cells Method","Returns array of all empty cell positions.","js Grid.prototype.availableCells = function() { var cells = []; this.eachCell(function(x, y, tile) { if (!tile) { cells.push({ x: x, y: y }); } }); return cells; }","Iterates through the entire grid and collects coordinates where tile is null. Essential for both random spawning and checking if moves are possible."
"53. Grid Each Cell Method (UPDATED)","Iterates over every cell with a callback using variable dimensions.","js Grid.prototype.eachCell = function(callback) { for (var x = 0; x < this.width; x++) { for (var y = 0; y < this.height; y++) { callback(x, y, this.cells[x][y]); } } }","Provides a clean abstraction for grid traversal. The callback receives (x, y, tile) for every cell. Loops iterate to this.width and this.height rather than fixed size."
"54. Grid Cells Available Method","Boolean check if any empty cells exist.","js Grid.prototype.cellsAvailable = function() { return !!this.availableCells().length; }","Shorthand method returning true if at least one empty cell exists. The !! coerces the array length to a boolean. Used to determine if the game is lost."
"55. Grid Cell Content Method","Retrieves the tile at specific coordinates.","js Grid.prototype.cellContent = function(cell) { if (this.withinBounds(cell)) { return this.cells[cell.x][cell.y]; } else { return null; } }","Safe accessor that checks bounds before returning. Returns null for out-of-bounds requests, preventing errors during edge detection in move logic."
"56. Grid Within Bounds Method (UPDATED)","Validates if coordinates are inside the variable-dimension grid.","js Grid.prototype.withinBounds = function(position) { return position.x >= 0 && position.x < this.width && position.y >= 0 && position.y < this.height; }","Ensures x is between 0 and width-1, y between 0 and height-1. Updated to use this.width and this.height instead of fixed this.size for variable dimensions."
"57. Grid Insert Tile Method","Places a tile object into the grid.","js Grid.prototype.insertTile = function(tile) { this.cells[tile.x][tile.y] = tile; }","Assigns the tile reference to the appropriate cell. Called when spawning new tiles and when creating merged tiles during gameplay."
"58. Grid Remove Tile Method","Clears a cell by setting it to null.","js Grid.prototype.removeTile = function(tile) { this.cells[tile.x][tile.y] = null; }","Used during merges to remove the source tiles after creating the new merged tile. Also called during move operations to clear the previous position."
"59. Grid Serialize Method (UPDATED)","Converts grid to JSON-compatible structure with dimensions.","js Grid.prototype.serialize = function() { var cellState = []; for (var x = 0; x < this.width; x++) { var row = cellState[x] = []; for (var y = 0; y < this.height; y++) { row.push(this.cells[x][y] ? this.cells[x][y].serialize() : null); } } return { width: this.width, height: this.height, cells: cellState }; }","Creates a plain object with grid dimensions (width, height) and serialized tiles. This structure can be JSON.stringify'd and saved to localStorage with dimension validation on load."
"60. HTMLActuator Constructor","Initializes DOM element references for rendering.","js function HTMLActuator() { this.tileContainer = document.querySelector("".tile-container""); this.scoreContainer = document.querySelector("".score-container""); this.undoButton = document.getElementById(""undo-button""); ... this.score = 0; }","Caches references to key DOM elements for efficient updates. Now includes undoButton reference for enabling/disabling based on undo stack state."
"61. HTMLActuator Actuate Method (UPDATED)","Master render method called after each move with grid rebuild.","js HTMLActuator.prototype.actuate = function(grid, metadata) { var self = this; window.requestAnimationFrame(function() { self.clearContainer(self.tileContainer); self.updateGridSize(grid.width, grid.height); grid.cells.forEach(...); self.updateUndoButton(metadata.undoAvailable); }); }","Wraps the entire render process in requestAnimationFrame for smooth 60 FPS updates. Now calls updateGridSize on every actuate to ensure grid visibility and correct positioning for current dimensions."
"62. HTMLActuator Update Grid Size (NEW)","Dynamically rebuilds grid and generates CSS for current dimensions.","js HTMLActuator.prototype.updateGridSize = function(width, height) { var maxSize = 500; var gap = 15; var padding = 15; var availableSpace = maxSize - (2 * padding) - ((Math.max(width, height) - 1) * gap); var cellSize = Math.floor(availableSpace / Math.max(width, height)); cellSize = Math.max(cellSize, 40); ... }","Calculates optimal cell size based on grid dimensions ensuring minimum 40px for touch targets. Rebuilds grid-container with new cell divs and injects dynamic CSS with position classes for every coordinate."
"63. Dynamic Container Sizing (NEW)","Sets game container dimensions based on calculated cell size.","js var containerWidth = (cellSize * width) + ((width - 1) * gap) + (2 * padding); var containerHeight = (cellSize * height) + ((height - 1) * gap) + (2 * padding); this.gameContainer.style.width = containerWidth + 'px'; this.gameContainer.style.height = containerHeight + 'px';","Calculates exact container dimensions to fit the grid with proper spacing. Accounts for cell sizes, gaps (15px), and padding (15px) to ensure precise layout."
"64. Grid Cell Rebuilding (NEW)","Dynamically generates grid cell divs for current dimensions.","js this.clearContainer(this.gridContainer); for (var y = 0; y < height; y++) { var row = document.createElement(""div""); row.className = ""grid-row""; for (var x = 0; x < width; x++) { var cell = document.createElement(""div""); cell.className = ""grid-cell""; cell.style.width = cellSize + 'px'; cell.style.height = cellSize + 'px'; row.appendChild(cell); } this.gridContainer.appendChild(row); }","Clears existing grid cells and creates new divs matching current width×height. Each cell is sized precisely using calculated cellSize. Organized in rows for proper float layout."
"65. Dynamic CSS Injection (NEW)","Runtime generation of tile positioning and sizing styles.","js var styleId = 'dynamic-tile-styles'; var existingStyle = document.getElementById(styleId); if (existingStyle) { existingStyle.remove(); } var style = document.createElement('style'); style.id = styleId; var css = '.tile, .tile .tile-inner { width: ' + cellSize + 'px; ... }';","Creates or replaces a style element with calculated CSS rules. Removes old styles to prevent accumulation. Injects tile dimensions, font sizes, and position classes into document.head."
"66. Font Size Calculation (NEW)","Scales font sizes proportionally to cell dimensions.","js var fontSize = Math.floor(cellSize * 0.5); var smallFontSize = Math.floor(cellSize * 0.35); var tinyFontSize = Math.floor(cellSize * 0.25); css += '.tile .tile-inner { font-size: ' + fontSize + 'px; }'; css += '.tile.tile-128 .tile-inner, .tile.tile-256 .tile-inner, .tile.tile-512 .tile-inner { font-size: ' + smallFontSize + 'px; }';","Dynamically calculates font sizes as percentages of cell size: base 50%, medium (128-512) 35%, tiny (1024-2048) 25%, super (2048+) 30%. Ensures readability across all grid sizes."
"67. Position Class Generation (NEW)","Creates CSS transform rules for every grid coordinate.","js for (var x = 0; x < width; x++) { for (var y = 0; y < height; y++) { var translateX = x * (cellSize + gap); var translateY = y * (cellSize + gap); css += '.tile.tile-position-' + (x + 1) + '-' + (y + 1) + ' { transform: translate(' + translateX + 'px, ' + translateY + 'px); }'; } }","Generates position classes for every (x, y) coordinate in the grid. Calculates translate values based on cell size and gaps. Class names use 1-indexed coordinates (tile-position-1-1 through tile-position-W-H)."
"68. HTMLActuator Clear Container","Removes all child DOM elements.","js HTMLActuator.prototype.clearContainer = function(container) { while (container.firstChild) { container.removeChild(container.firstChild); } }","Efficiently clears the tile container by removing children one by one. Used before each render to prevent duplicate tile elements. Also used to clear grid-container before rebuilding."
"69. HTMLActuator Add Tile Method","Creates and positions a tile DOM element.","js HTMLActuator.prototype.addTile = function(tile, gridWidth, gridHeight) { var wrapper = document.createElement(""div""); var inner = document.createElement(""div""); var position = tile.previousPosition || { x: tile.x, y: tile.y }; var classes = [""tile"", ""tile-"" + tile.value, positionClass]; ... }","Constructs a two-div structure: wrapper for positioning/animation, inner for styling/number. Handles three states: new tiles (tile-new), moving tiles (previousPosition), and merged tiles (tile-merged with mergedFrom array)."
"70. HTMLActuator Apply Classes","Sets CSS class attribute from array.","js HTMLActuator.prototype.applyClasses = function(element, classes) { element.setAttribute(""class"", classes.join("" "")); }","Converts an array of class names into a space-separated string. Used instead of classList because the implementation needs to replace all classes at once during animations."
"71. HTMLActuator Position Class","Generates CSS class for tile positioning.","js HTMLActuator.prototype.positionClass = function(position) { position = this.normalizePosition(position); return ""tile-position-"" + position.x + ""-"" + position.y; }","Creates class names like ""tile-position-1-1"" through ""tile-position-W-H"". Normalizes from 0-indexed (internal) to 1-indexed (CSS) coordinates. Works for any grid dimensions."
"72. HTMLActuator Normalize Position","Converts 0-indexed to 1-indexed coordinates.","js HTMLActuator.prototype.normalizePosition = function(position) { return { x: position.x + 1, y: position.y + 1 }; }","Adjusts coordinates from internal representation (0 to width-1) to CSS class naming convention (1 to width). This allows more intuitive CSS class names."
"73. HTMLActuator Update Score","Renders current score with delta animation.","js HTMLActuator.prototype.updateScore = function(score) { this.clearContainer(this.scoreContainer); var difference = score - this.score; this.score = score; this.scoreContainer.textContent = this.score; if (difference > 0) { var addition = document.createElement(""div""); addition.classList.add(""score-addition""); addition.textContent = ""+"" + difference; this.scoreContainer.appendChild(addition); } }","Clears previous content, displays new score, and creates a floating ""+X"" indicator if the score increased. The animation is handled by CSS (move-up keyframes)."
"74. HTMLActuator Update Best Score","Displays the dimension-specific persistent high score.","js HTMLActuator.prototype.updateBestScore = function(bestScore) { this.bestContainer.textContent = bestScore; }","Simple text update to show the best score for current grid dimensions. Called every frame during gameplay, but only visually changes when a new high score is achieved for that dimension."
"75. HTMLActuator Update Undo Button (NEW)","Enables or disables undo button based on stack state.","js HTMLActuator.prototype.updateUndoButton = function(undoAvailable) { this.undoButton.disabled = !undoAvailable; }","Sets the disabled attribute on the undo button based on whether the undo stack has moves. When disabled, CSS styling (opacity: 0.5, cursor: not-allowed) provides visual feedback."
"76. HTMLActuator Message Method","Shows game-over or win overlay.","js HTMLActuator.prototype.message = function(won) { var type = won ? ""game-won"" : ""game-over""; var message = won ? ""You win!"" : ""Game over!""; this.messageContainer.classList.add(type); this.messageContainer.getElementsByTagName(""p"")[0].textContent = message; }","Adds the appropriate CSS class to trigger the fade-in animation and sets the message text. The game-won class enables the ""Keep playing"" button."
"77. HTMLActuator Clear Message","Hides the game-over/win overlay.","js HTMLActuator.prototype.clearMessage = function() { this.messageContainer.classList.remove(""game-won""); this.messageContainer.classList.remove(""game-over""); }","Removes both possible message states. Called when restarting the game or choosing to continue after winning (keep playing button)."
"78. KeyboardInputManager Constructor","Sets up input event handling with touch detection.","js function KeyboardInputManager() { this.events = {}; if (window.navigator.msPointerEnabled) { this.eventTouchstart = ""MSPointerDown""; ... } else { this.eventTouchstart = ""touchstart""; ... } this.listen(); }","Initializes the event emitter pattern and detects IE10's MSPointer events vs standard touch events. Immediately calls listen() to bind all input handlers."
"79. KeyboardInputManager On Method","Registers event listeners.","js KeyboardInputManager.prototype.on = function(event, callback) { if (!this.events[event]) { this.events[event] = []; } this.events[event].push(callback); }","Implements a simple pub-sub pattern. The GameManager subscribes to ""move"", ""restart"", ""keepPlaying"", and ""undo"" events during initialization."
"80. KeyboardInputManager Emit Method","Triggers registered event callbacks.","js KeyboardInputManager.prototype.emit = function(event, data) { var callbacks = this.events[event]; if (callbacks) { callbacks.forEach(function(callback) { callback(data); }); } }","Calls all registered callbacks for a given event name. Data parameter passes directional information (0-3) for move events or is unused for restart/keepPlaying/undo."
"81. KeyboardInputManager Listen Method (UPDATED)","Binds all input event handlers including undo shortcut.","js KeyboardInputManager.prototype.listen = function() { var map = { 38: 0, 39: 1, 40: 2, 37: 3, 75: 0, 76: 1, 74: 2, 72: 3, 87: 0, 68: 1, 83: 2, 65: 3 }; document.addEventListener(""keydown"", function(event) { ... }); this.bindButtonPress(""#undo-button"", this.undo); ... }","Maps keycodes to directions (0=up, 1=right, 2=down, 3=left), supports arrow keys, WASD, and Vim keys (HJKL). Now includes Ctrl/Cmd+Z detection for undo and binds undo button click event."
"82. Undo Keyboard Shortcut (NEW)","Detects Ctrl+Z or Cmd+Z for undo functionality.","js if ((event.ctrlKey || event.metaKey) && event.which === 90 && !event.shiftKey) { event.preventDefault(); self.emit(""undo""); }","Checks for Ctrl (Windows/Linux) or Cmd (macOS) key combined with Z key (keycode 90). Ensures Shift is not pressed to differentiate from redo. Prevents default browser behavior and emits undo event."
"83. Keyboard Input Key Mapping","Translates key codes to move directions.","js var map = { 38: 0, 39: 1, 40: 2, 37: 3, 75: 0, 76: 1, 74: 2, 72: 3, 87: 0, 68: 1, 83: 2, 65: 3 };","Arrow keys (37-40), Vim navigation (HJKL: 72,74,75,76), and WASD (65,68,83,87) all map to the same four directional values. This ensures accessibility across different user preferences."
"84. Keyboard Input Modifier Check","Prevents conflicts with browser shortcuts.","js var modifiers = event.altKey || event.ctrlKey || event.metaKey || event.shiftKey; if (!modifiers) { if (mapped !== undefined) { event.preventDefault(); self.emit(""move"", mapped); } }","Only processes game inputs when no modifier keys are pressed (except for undo which explicitly checks for Ctrl/Cmd). This prevents accidentally interfering with Ctrl+R (refresh), Cmd+W (close tab), etc."
"85. Touch Gesture Detection","Converts swipes to directional moves.","js var dx = touchEndClientX - touchStartClientX; var absDx = Math.abs(dx); var dy = touchEndClientY - touchStartClientY; var absDy = Math.abs(dy); if (Math.max(absDx, absDy) > 10) { self.emit(""move"", absDx > absDy ? (dx > 0 ? 1 : 3) : (dy > 0 ? 2 : 0)); }","Calculates horizontal and vertical deltas between touchstart and touchend. Requires 10px minimum movement to prevent accidental triggers. Emits move event based on dominant axis and direction."
"86. KeyboardInputManager Restart Method","Handles restart button clicks.","js KeyboardInputManager.prototype.restart = function(event) { event.preventDefault(); this.emit(""restart""); }","Prevents default anchor behavior and emits the restart event. Subscribed by GameManager to clear state and set up a new game."
"87. KeyboardInputManager Keep Playing","Allows continuing after winning.","js KeyboardInputManager.prototype.keepPlaying = function(event) { event.preventDefault(); this.emit(""keepPlaying""); }","Enables post-2048 gameplay when user clicks ""Keep going"" button. Emits keepPlaying event which sets the keepPlaying flag in GameManager."
